j,strategy,delta,se,p_up,p_down,n1
94,book_pullback_ma20,0.056344420783390234,0.12742153670564807,0.3291761690366133,0.6708238309633867,15637
95,book_pullback_ma20,-0.04671329428782507,0.10939834781471403,0.6653110011800712,0.33468899881992875,15654
96,book_pullback_ma20,-0.06465289193558961,0.10365274691464278,0.7336024969848208,0.26639750301517917,15642
97,book_pullback_ma20,0.07094591312174006,0.11438485104435528,0.26755031786339845,0.7324496821366016,15640
98,book_pullback_ma20,0.13664081984352394,0.1575696937106417,0.1929225084601648,0.8070774915398353,15651
99,book_pullback_ma20,0.13747214690464274,0.15071219150676834,0.1808448428680282,0.8191551571319718,15637
0,minervini_volume_dryup,0.15282903908115736,0.20509543030031363,0.22808731144564767,0.7719126885543524,2621
1,minervini_volume_dryup,-0.03827757626924781,0.21515814476550246,0.5706009643695489,0.4293990356304511,2629
2,minervini_volume_dryup,-0.3348492867157382,0.21656077818958275,0.9389735419013003,0.06102645809869955,2633
3,minervini_volume_dryup,-0.49392233189552903,0.21681153021864483,0.9886402372598889,0.011359762740111074,2628
4,minervini_volume_dryup,-0.11856261194820346,0.21739060650525086,0.7072572611258339,0.29274273887416613,2630
5,minervini_volume_dryup,0.09149955641423711,0.2741417270601099,0.3692775632833404,0.6307224367166596,2629
6,minervini_volume_dryup,0.10448445996295354,0.22193339835315173,0.31889465270546435,0.6811053472945356,2627
7,minervini_volume_dryup,0.07643776606576903,0.22896822758995533,0.36925177537770515,0.6307482246222949,2627
8,minervini_volume_dryup,-0.023916420340123826,0.22631453931500475,0.5420809986302038,0.45791900136979624,2627
9,minervini_volume_dryup,0.03966942835641303,0.20197204009954298,0.42214444124205563,0.5778555587579444,2627
10,minervini_volume_dryup,-0.12247584166654615,0.21132067729179885,0.7188988295334169,0.2811011704665831,2628
11,minervini_volume_dryup,-0.3402422583908407,0.21664259693770976,0.9418532974452867,0.05814670255471332,2626
12,minervini_volume_dryup,-0.23143239825143969,0.19514579092453235,0.8821782156629614,0.11782178433703863,2625
13,minervini_volume_dryup,-0.36403494091534777,0.22545847110914782,0.9468059854847437,0.053194014515256204,2632
14,minervini_volume_dryup,0.007362228416584626,0.20737849961665122,0.4858399624249746,0.5141600375750254,2622
15,minervini_volume_dryup,-0.10960703919379901,0.2138574266012528,0.6958577959549734,0.3041422040450266,2627
16,minervini_volume_dryup,-0.21727954403949062,0.19348333468780354,0.8692787934001287,0.13072120659987138,2630
17,minervini_volume_dryup,0.10031571240142113,0.454204998815958,0.41260072495637806,0.5873992750436219,2633
18,minervini_volume_dryup,-0.06831477868790761,0.21962346713809713,0.6221202507568945,0.37787974924310547,2626
19,minervini_volume_dryup,0.02322676778615808,0.20129205573753617,0.45406863740520537,0.5459313625947946,2628
20,minervini_volume_dryup,-0.055971340106259114,0.22724024657165923,0.5972785160659421,0.4027214839340579,2632
21,minervini_volume_dryup,0.017616363306334287,0.21646328902437284,0.46756881005775996,0.53243118994224,2625
