board,rep,strategy,n_lots,n_open_excl,mean_net_pct,win_rate,net_won_mean,n_replaced,n_dropped,dup_pi,dup_real
main,63,book_pullback_ma20,17913,103,-0.083452,0.409647,-834,8313,0,982,8443
main,64,book_pullback_ma20,17905,111,-0.152744,0.403965,-1478,8431,0,978,8535
main,65,book_pullback_ma20,17915,101,-0.176015,0.403517,-1738,8111,0,984,8241
main,66,book_pullback_ma20,17918,98,-0.161403,0.405123,-1598,8150,0,980,8280
main,67,book_pullback_ma20,17914,102,-0.287006,0.405884,-2828,8373,0,977,8502
main,68,book_pullback_ma20,17905,111,-0.18218,0.403407,-1779,8281,0,982,8377
main,69,book_pullback_ma20,17910,106,0.311202,0.402959,3091,8000,0,975,8109
main,70,book_pullback_ma20,17895,121,0.103663,0.411065,1025,8208,0,988,8348
main,71,book_pullback_ma20,17889,127,-0.224265,0.404942,-2228,8033,0,980,8143
main,72,book_pullback_ma20,17910,106,0.501583,0.405472,5047,8385,0,951,8492
main,73,book_pullback_ma20,17895,121,-0.092149,0.402626,-886,8091,0,983,8240
main,74,book_pullback_ma20,17893,123,-0.22355,0.40854,-2204,8168,0,980,8291
main,75,book_pullback_ma20,17899,117,-0.216891,0.406559,-2131,8066,0,982,8189
main,76,book_pullback_ma20,17902,114,0.090089,0.406491,927,8062,0,989,8191
main,77,book_pullback_ma20,17901,115,0.02773,0.404223,330,8291,0,951,8391
main,78,book_pullback_ma20,17923,93,-0.182889,0.403839,-1781,8561,0,981,8666
main,79,book_pullback_ma20,17901,115,-0.010932,0.406178,-115,8317,0,967,8409
main,80,book_pullback_ma20,17905,111,-0.172462,0.401229,-1688,8374,0,969,8508
main,81,book_pullback_ma20,17900,116,-0.169498,0.406872,-1676,8234,0,998,8378
main,82,book_pullback_ma20,17899,117,-0.038498,0.399743,-364,8222,0,950,8317
main,83,book_pullback_ma20,17909,107,-0.173616,0.407505,-1735,7911,0,962,8033
