# RESULTS_WRC_EXPLORE — bₖ 밴드 (기계 생성 · 🔬 탐색 표기 · 판정 아님)
# 창 = [등록일, 2026-09-02] · gross · 시드 20260815 · post4·post5 «만»(post6 미존재)
# 1. 🔴 **「라이브 채택 금지 — 이 표의 어떤 숫자도 매매 규칙으로 옮기지 않는다」**(`PREREG.md` §0-2).
# 2. 🔴 **「검정 안 된 «후보»다 — `WRC-P1` 판정 전이거나 강등 상태면 그 사실을 이 줄에 적는다」** → 🔬 **이 회차는 `WRC-P1` «판정 전»이다**(판정은 post6 부터 · §4-5 `WRC-O1`). 그리고 `WRC-G1` 이 탐색 표본에서 «발동» 중이다(§1).
# 3. 🔴 **「`P` 의 불확실성을 그대로 물려받는다 — 「존재한다」류 주장조차 약하다」** (`RESULTS_RECONSTRUCT_POST5.md` §10 승계).
# 4. 🔴 **「이 표는 «단일 평단 전제가 성립한 건»만 담는다 — 그 배제는 무작위가 아니다」**(§5-3 2번 · 두 문장 묶음): *「`WRC-G1` 사유 ④ 가 `feasible(A0) = ∅` 인 건을 전부 분자로 보내 측정 불가로 처리한다 ⇒ 중단 대상인 「전제가 깨진 건」은 이 축에 애초에 들어오지 못한다」* 와 *「그 배제는 무작위가 아니다 — 레그 간격이 촘촘한 건에 몰린다」* 는 **하나의 사실**이다.
#
post	name	code	reg	fill_n	k	P_min	P_max	b_lo_pct	b_hi_pct	w_pp	cells
post4	이노테크	469610	2026-08-13	5	1	15570.00	19630.00	0.0000	20.6826	20.6826	406.00
post4	이노테크	469610	2026-08-13	5	2	14540.00	17810.00	9.2715	25.9297	16.6582	327.00
post4	이노테크	469610	2026-08-13	5	3	14450.00	16680.00	15.0280	26.3882	11.3602	223.00
post4	이노테크	469610	2026-08-13	5	4	14440.00	16110.00	17.9317	26.4391	8.5074	167.00
post4	이노테크	469610	2026-08-13	5	5	14430.00	15770.00	19.6638	26.4901	6.8263	134.00
post4	지투파워	388050	2026-08-13	2	1	10680.00	11450.00	-9.7795	-2.3969	7.3826	77.00
post4	지투파워	388050	2026-08-13	2	2	9890.00	10660.00	-2.2052	5.1774	7.3826	77.00
