cell,want_s,want_c1,want_c1b,want_c2,want_c2b,depth_s,depth_c1,depth_c1b,depth_c2,depth_c2b,want_gap_c1,want_gap_c2,real_gap_c1,real_gap_c2
low-lb120-mg0.3|exo|c0.6,0.2837889535294067,0.2938360659944498,0.2930999249206193,0.2837889535294067,0.2837889535294067,0.27077446119285836,0.2642710608881068,0.26367888394850414,0.25764107962245664,0.2576164263316626,0.010047112465043084,0.0,0.00650340030475155,0.013133381570401725
low-lb120-mg0.3|exo|c0.8,0.28811568398629683,0.29723933537352615,0.2964639966560569,0.28811568398629683,0.28811568398629683,0.26477202074330086,0.26004823458659165,0.2602797894868004,0.2573779529001474,0.25705106530380306,0.009123651387229315,0.0,0.004723786156709209,0.00739406784315344
low-lb120-mg0.3|exo|c1.0,0.29215521655479815,0.30113064037636905,0.30004575907899117,0.29215521655479815,0.29215521655479815,0.25737498604529474,0.2548112079549012,0.2542972720107515,0.2568420687326482,0.25679585404627325,0.008975423821570905,0.0,0.0025637780903935425,0.0005329173126465414
low-lb120-mg0.3|pit|c0.6,0.282585025643515,0.2828839410965224,0.28286907770087205,0.282585025643515,0.282585025643515,0.2609324062994507,0.2568947878418363,0.2567009903774688,0.24258020032516217,0.24201398304473884,0.00029891545300736455,0.0,0.004037618457614411,0.01835220597428852
low-lb120-mg0.3|pit|c0.8,0.2884120993250655,0.2899427913607197,0.2896453418314431,0.2884120993250655,0.2884120993250655,0.2514089359650916,0.24954128653662672,0.24926292400621475,0.24073394714671426,0.24062416840608467,0.001530692035654202,0.0,0.0018676494284649015,0.010674988818377362
low-lb120-mg0.3|pit|c1.0,0.29373312475805524,0.2940188775930061,0.29432301055721605,0.29373312475805524,0.29373312475805524,0.23400495019413967,0.2369584848847118,0.23732504636124366,0.23798141759728444,0.238117940231362,0.0002857528349508587,0.0,-0.002953534690572135,-0.003976467403144779
low-lb60-mg0.3|exo|c0.6,0.252289842784406,0.2568210365238202,0.25711792726491245,0.252289842784406,0.252289842784406,0.24243416247519245,0.2348285024123654,0.2343531272179413,0.23135026270483958,0.23160030520874952,0.0045311937394141855,0.0,0.007605660062827063,0.011083899770352873
low-lb60-mg0.3|exo|c0.8,0.2558002331669023,0.2602360175230731,0.25975015119110767,0.2558002331669023,0.2558002331669023,0.23762911619547983,0.23189780777304578,0.2316795305223069,0.23125244366874903,0.2313622045704395,0.004435784356170813,0.0,0.0057313084224340505,0.006376672526730798
low-lb60-mg0.3|exo|c1.0,0.2592167681641587,0.26317746963013733,0.26355709414886014,0.2592167681641587,0.2592167681641587,0.23166977842583414,0.2279229655217313,0.22782015335039996,0.23117647612571351,0.23156385689194722,0.0039607014659786555,0.0,0.0037468129041028364,0.0004933023001206238
low-lb60-mg0.3|pit|c0.6,0.2651753001116582,0.2673264526119147,0.2673215288469924,0.2651753001116582,0.2651753001116582,0.24654491629320707,0.2420578370139852,0.24195952097663131,0.2297655403860584,0.2296082835332188,0.0021511525002564924,0.0,0.004487079279221873,0.016779375907148675
low-lb60-mg0.3|pit|c0.8,0.26994976649099706,0.2722183956858833,0.272125674507472,0.26994976649099706,0.26994976649099706,0.23816994593163782,0.23535113516434727,0.23515944521500914,0.2289438875431231,0.2286115439013923,0.0022686291948862403,0.0,0.0028188107672905416,0.00922605838851473
low-lb60-mg0.3|pit|c1.0,0.275884125805102,0.27753294246353544,0.2778229862790897,0.275884125805102,0.275884125805102,0.2250674800882386,0.22621556959551736,0.22636591388042912,0.22708461863624518,0.2275490915403677,0.0016488166584334163,0.0,-0.0011480895072787656,-0.002017138548006586
low-lb60-mg0.5|exo|c0.6,0.28514713651797763,0.29252819721894385,0.2921043980025598,0.28514713651797763,0.28514713651797763,0.2739080000538672,0.27024657100932487,0.26978849250235554,0.26098420978148584,0.26137118471783455,0.007381060700966224,0.0,0.003661429044542308,0.01292379027238133
low-lb60-mg0.5|exo|c0.8,0.28902679217158633,0.2956908481153305,0.2962307557448525,0.28902679217158633,0.28902679217158633,0.26835376977858344,0.2662178045650419,0.2661622386586197,0.26096525978805385,0.2610784235931526,0.0066640559437441405,0.0,0.0021359652135415352,0.00738850999052959
low-lb60-mg0.5|exo|c1.0,0.2931169847981615,0.29931174411878986,0.29863460116128077,0.2931169847981615,0.2931169847981615,0.2618207993387872,0.26033467683994255,0.26011020121437095,0.2610924127169318,0.26173057734983834,0.006194759320628351,0.0,0.0014861224988446664,0.0007283866218554258
low-lb60-mg0.5|pit|c0.6,0.29839392647066865,0.30087951013782704,0.30129601062451306,0.29839392647066865,0.29839392647066865,0.2778534082009679,0.27502506225213025,0.27504039530538027,0.2590171298972042,0.25866539959680296,0.0024855836671583975,0.0,0.0028283459488376295,0.018836278303763665
low-lb60-mg0.5|pit|c0.8,0.30383222975619445,0.3057546976557466,0.30657614365723096,0.30383222975619445,0.30383222975619445,0.2686340176461662,0.2662378585537954,0.2667325630190283,0.25803104429916535,0.2581415740612489,0.0019224678995521383,0.0,0.0023961590923707865,0.010602973347000832
low-lb60-mg0.5|pit|c1.0,0.31046316926352313,0.3130647302428184,0.31309651766600133,0.31046316926352313,0.31046316926352313,0.25212202225181024,0.25622253358207947,0.25587424006822085,0.2556468640068041,0.2558404954549975,0.0026015609792952588,0.0,-0.00410051133026923,-0.003524841754993846
