year,count,mean
2021,49001,-0.0003930411270481477
2022,70762,0.0030040496030065166
2023,86280,0.0025708466598541447
2024,100076,0.0036590887057403854
2025,118628,0.002434275864569106
2026,83626,0.002968693524105905
