q,n,gap_lo,gap_hi,gap_mean,delta
0,101675,-0.5399683628882596,-0.053266619415450175,-0.09807245469846998,-0.020474694798804007
1,230848,-0.053265908996685624,0.0,-0.007887930772892857,-0.002964224847075286
2,74177,5.918305737429019e-07,0.05328850968776272,0.02470592573578086,0.010520034327512551
3,101673,0.05328996114863516,0.5248591735771956,0.0981248967280971,0.03249684171444209
