bucket,count,mean
>=0.00,77098,-0.010935093220028254
>=0.20,307221,-0.002269364494201664
>=0.50,97740,0.016831505869796873
>=1.00,21716,0.03452635967768997
>=2.00,3116,0.0723314573259095
>=4.00,1482,0.16082700244737327
