cell,0
k10-h10-mg0.15|exo,3.0506068731531305e-20
k10-h10-mg0.15|pit,1.0156458131592274e-18
k10-h10-mg0.25|exo,-3.8190477517883773e-19
k10-h10-mg0.25|pit,5.546344074459581e-19
k10-h20-mg0.15|exo,1.5946610098629397e-19
k10-h20-mg0.15|pit,1.3612698417577423e-19
k10-h20-mg0.25|exo,7.604939403256994e-20
k10-h20-mg0.25|pit,2.412424230086685e-19
k5-h10-mg0.15|exo,5.070172998679603e-20
k5-h10-mg0.15|pit,1.7370907519075082e-19
k5-h10-mg0.25|exo,-1.8111689172910394e-19
k5-h10-mg0.25|pit,1.1074818540692282e-18
k5-h20-mg0.15|exo,1.5356282924200756e-19
k5-h20-mg0.15|pit,-2.3046104218565128e-20
k5-h20-mg0.25|exo,1.8411658783170092e-19
k5-h20-mg0.25|pit,8.097566067817959e-19
