def,n,codes,gate_c_danal,pct_lag0,lag_median,lag_mean,lag_p75,gain_median,ident_0,mis7_0,mis5_0,mis3_0,ratio_0,ident_1,mis7_1,mis5_1,mis3_1,ratio_1,ident_2,mis7_2,mis5_2,mis3_2,ratio_2,ident_3,mis7_3,mis5_3,mis3_3,ratio_3,ident_5,mis7_5,mis5_5,mis3_5,ratio_5
k5-h10-mg0.15,49614,2524,True,27.762325150159228,3.0,3.844963115249728,7.0,0.2599192777886348,59.71701535856815,46.35183617527311,69.25061474583786,70.51033982343694,0.5930232558139532,71.21377030676825,36.173257548272666,56.74406417543435,58.41093239811344,0.7908025681370888,77.42774216954892,29.836336517918326,48.83097512798807,50.596605796750914,0.933333333333334,82.19252630305962,24.753093884790584,42.02039746845648,43.73967025436369,1.0,89.15427097190309,16.328052565808036,30.1729350586528,31.75918087636554,1.0
k5-h10-mg0.25,26475,2423,True,13.91501416430595,4.0,4.694957507082153,8.0,0.37104072398190047,38.6024551463645,66.48914069877243,85.10292728989613,85.35977337110482,0.4471910112359552,53.05382436260623,51.2823418319169,70.62889518413597,71.44475920679886,0.6204819277108434,61.92256846081209,42.0547686496695,61.737488196411704,62.64778092540132,0.7456140350877193,69.3484419263456,34.68177525967894,53.78659112370161,54.77620396600567,0.8707865168539325,80.99338999055713,22.41737488196412,39.30500472143532,40.52502360717658,1.0
k5-h20-mg0.15,56000,2535,True,20.82857142857143,6.0,7.8524642857142855,14.0,0.2822966507177034,52.90714285714285,55.11071428571429,76.5625,77.71071428571429,0.4853444909344493,63.09285714285714,46.973214285714285,67.24107142857143,68.70892857142857,0.6195652173913044,68.59821428571429,41.94642857142858,61.49821428571428,63.07142857142857,0.7057357175544963,72.81964285714285,37.96964285714285,56.71964285714286,58.30357142857143,0.7857142857142854,78.9875,31.32857142857143,48.67142857142857,50.25714285714285,0.9437625502008034
k5-h20-mg0.25,33163,2459,True,9.754847269547387,9.0,9.32014594578295,16.0,0.3999999999999999,30.81747730904924,74.42631848747098,89.50637758948226,89.69936374875614,0.36111111111111094,42.354431143141454,63.178843892289606,79.52235925579713,80.10734855109611,0.4783904619970194,49.43461086150228,56.44242077013539,73.69055875523928,74.37204113017519,0.5561569688768606,55.36290444169707,51.05388535415975,68.59451798691313,69.35440098905407,0.627808988764045,64.65940958296898,41.950366372161746,59.584476675813406,60.513222567319005,0.7645429362880889
k10-h10-mg0.15,38176,2461,True,34.183780385582565,2.0,3.304248742665549,6.0,0.2727272727272727,73.72432942162615,41.32177284157586,62.43451383067896,63.86211232187762,0.7012566042973094,82.24800922045264,30.773260687342834,49.04390192791283,50.86441743503772,0.9289277893898676,86.32124895222128,25.03667225481978,41.59943419949707,43.320410729253986,1.0,89.51435456831517,20.402870913663033,35.32323973176865,36.970871751886,1.0,93.67665549036045,13.406328583403186,25.13359178541492,26.47474853310981,1.0
k10-h10-mg0.25,21866,2332,True,17.502057989572855,3.0,4.213161986645934,7.0,0.37431618067222694,49.02131162535443,58.11305222720205,81.25400164639166,81.5969999085338,0.5229357798165137,63.15284002561054,42.68270374096772,64.21842129333211,65.2794292508918,0.7216702117881856,70.97777371261319,34.66111771700356,55.108387450836915,56.1648220982347,0.8516129032258063,77.09228939906706,28.148724046464828,47.33376017561511,48.39019482301289,1.0,85.93249794201043,18.220067684990397,34.08488063660477,35.11387542303119,1.0
k10-h20-mg0.15,40846,2474,True,27.224208000783428,4.0,6.716961269157323,13.0,0.29454545454545444,68.90515595162316,49.48097732948147,69.69593105812073,71.03755569700827,0.5966780087860157,76.87166430005387,40.57924888605983,59.03393233119522,60.70117024922881,0.7556818181818186,80.67864662390443,35.82480536649856,53.31489007491553,54.95030113107771,0.8494557849988811,83.66302697938599,31.990892621064486,48.63389315967292,50.274200656123,0.9427172823596792,87.55324878813103,26.254712823777115,41.318611369534345,42.78754345590755,1.0
k10-h20-mg0.25,25602,2376,True,13.131786579173502,7.0,8.28525115225373,15.0,0.4061302681992338,41.867822826341694,65.87375986251074,85.87219748457152,86.13389578939146,0.4468679424699871,53.93719240684322,53.7965783923131,73.30286696351848,74.1153034919147,0.58425633122337,60.62026404187173,47.64080931177252,66.93617686118272,67.75642527927505,0.6666666666666663,65.84251230372628,42.56308100929615,61.581126474494184,62.45605812045933,0.7401855017233165,73.39270369502383,34.82931021013984,52.77712678696977,53.679400046871336,0.887402066918149
