bucket,cw_s,cw_c1,roi_s,n
>=0.00,-0.022461152381727842,-0.011526059161699588,-0.013555678652519597,77098
>=0.20,-0.022801539738201468,-0.020532175243999806,-0.008456198107489514,307221
>=0.50,-0.018757949578008228,-0.035589455447805105,0.00459380443722303,97740
>=1.00,-0.02815854922321128,-0.06268490890090125,-7.30447257775048e-05,21716
>=2.00,-0.016686869894014973,-0.08901832721992448,0.017561198409968462,3116
>=4.00,-0.05488203394743422,-0.21570903639480749,-0.043741523703428646,1482
