cell,count,mean
k10-h10-mg0.15|exo,33664,-0.0001659686956317861
k10-h10-mg0.15|pit,32493,0.00015298060344231596
k10-h10-mg0.25|exo,19332,0.00022457278135540093
k10-h10-mg0.25|pit,18616,0.00017372018271315972
k10-h20-mg0.15|exo,36029,-1.26826789204352e-05
k10-h20-mg0.15|pit,34866,0.0003662475841788562
k10-h20-mg0.25|exo,22628,0.00035377922118562806
k10-h20-mg0.25|pit,21860,-5.450188608487458e-06
k5-h10-mg0.15|exo,44068,-0.00038198207836455557
k5-h10-mg0.15|pit,42502,-0.0004283937434827837
k5-h10-mg0.25|exo,23600,0.0005437509612110002
k5-h10-mg0.25|pit,22681,-0.00018794537098530854
k5-h20-mg0.15|exo,49795,-0.0008185898753982174
k5-h20-mg0.15|pit,48174,-0.00024293599409833387
k5-h20-mg0.25|exo,29547,-6.288946567917579e-05
k5-h20-mg0.25|pit,28518,-0.00024137608931053438
