bucket,count,mean
>=0.00,77098,0.002552471511740838
>=0.20,307221,0.004395636771226578
>=0.50,97740,0.007588865675258974
>=1.00,21716,0.01076494257356793
>=2.00,3116,0.013732586680733667
>=4.00,1482,-0.0007181197539613708
