year,count,mean
2021,49001,0.0033050739561299182
2022,70762,0.003481854181604511
2023,86280,0.004266135778747167
2024,100076,0.0054505120557212395
2025,118628,0.0036534188568710605
2026,83626,0.009676126773967656
