strategy,scenario,N,K,bucket,n_buys_completed,n_open,buys_per_day,gross_won,cost_won,net_won,net_per_lot_won,win_rate,max_concurrent,capital_needed_won,cost_over_abs_gross
daytrading_3methods_breakout,"N=∞,K=현행",∞,현행,전체,1416,6,2.3,-2141508,3527639,-5669147,-4004,0.4675,10,10000000,1.6473
daytrading_3methods_breakout,"N=∞,K=현행",∞,현행,2024,438,0,2.23,-591023,1090995,-1682018,-3840,0.4635,10,10000000,1.8459
daytrading_3methods_breakout,"N=∞,K=현행",∞,현행,2025,514,0,2.12,1225340,1280930,-55590,-108,0.4864,10,10000000,1.0454
daytrading_3methods_breakout,"N=∞,K=현행",∞,현행,2026,464,6,2.63,-2775825,1155714,-3931539,-8473,0.4504,10,10000000,0.4163
daytrading_3methods_breakout,"N=∞,K=∞",∞,∞,전체,13263,110,21.67,-5846300,32985091,-38831391,-2928,0.47,311,311000000,5.642
daytrading_3methods_breakout,"N=∞,K=∞",∞,∞,2024,3597,0,18.35,-18317714,8945299,-27263013,-7579,0.4384,253,253000000,0.4883
daytrading_3methods_breakout,"N=∞,K=∞",∞,∞,2025,5868,0,24.25,18482462,14593744,3888718,663,0.4833,289,289000000,0.7896
daytrading_3methods_breakout,"N=∞,K=∞",∞,∞,2026,3798,110,21.83,-6011048,9446048,-15457096,-4070,0.4795,311,311000000,1.5714
daytrading_3methods_breakout,R,-,-,전체,15000,122,24.51,-4560544,37294661,-41855205,-2790,0.4699,369,369000000,8.1777
daytrading_3methods_breakout,R,-,-,2024,4074,0,20.79,-23577855,10128437,-33706292,-8274,0.4352,300,300000000,0.4296
daytrading_3methods_breakout,R,-,-,2025,6701,0,27.69,20647197,16659703,3987494,595,0.482,360,360000000,0.8069
daytrading_3methods_breakout,R,-,-,2026,4225,122,24.28,-1629886,10506521,-12136407,-2873,0.4843,369,369000000,6.4462
