strategy	ref_type	sharpe	calmar	max_dd	pnl	n_trades	clamp_frac	delta_sharpe	sharpe_train	delta_sharpe_train	sharpe_test	delta_sharpe_test	boot_dsharpe_p05	delta_sharpe_cost	gate_pass	gate_reason	n	sl_mult	rr	buffer	bb_k
elder_ema_pullback	fixed	0.9072692780076019	8.79895956909862	0.3099348103742035	2.7271038655388646	186	0.0	0.0	0.7273025187091328	0.0	1.337956096080265	0.0	0.0	0.0	False	train_window_not_positive					
elder_ema_pullback	box	0.3959056100842074	0.8257214203607657	0.7103923074938713	0.5865861451572012	332	0.06626506024096386	-0.5113636679233946	-0.08334893887222751	-0.8106514575813603	1.7047863310407332	0.3668302349604682	-0.3590355159797987	0.1812352514965786	False	train_window_not_positive	10.0	1.0	1.0	0.0	2.0
elder_ema_pullback	box	0.5803996011107408	1.5177969957130502	0.7464331593287885	1.1329340067298357	276	0.15942028985507245	-0.3268696768968611	-0.594548116603487	-1.3218506353126198	1.8977390997707067	0.5597830036904416	-0.31864662394186155	0.2323247082184896	False	train_window_not_positive	10.0	1.0	1.5	0.0	2.0
elder_ema_pullback	box	0.5482368357981382	1.4701242792235483	0.7008152059057782	1.0302854494511346	266	0.2894736842105263	-0.35903244220946373	-0.34333787590574016	-1.0706403946148728	2.1499969696491448	0.8120408735688798	-0.32789068108209213	0.12116440266678996	False	clamp_frac_high(0.29)	10.0	1.0	2.0	0.0	2.0
elder_ema_pullback	box	0.5282481258732621	2.58998425489366	0.741780375235959	1.9211994924502445	214	0.6214953271028038	-0.37902115213433984	0.2722453588929726	-0.4550571598161602	1.8883268174754595	0.5503707213951945	-0.26871214410922656	0.11209821638421857	False	clamp_frac_high(0.62)	10.0	1.0	3.0	0.0	2.0
elder_ema_pullback	box	0.3959056100842074	0.8257214203607657	0.7103923074938713	0.5865861451572012	332	0.06626506024096386	-0.5113636679233946	-0.08334893887222751	-0.8106514575813603	1.7047863310407332	0.3668302349604682	-0.3590355159797987	0.1812352514965786	False	train_window_not_positive	10.0	1.5	1.0	0.0	2.0
elder_ema_pullback	box	0.5803996011107408	1.5177969957130502	0.7464331593287885	1.1329340067298357	276	0.15942028985507245	-0.3268696768968611	-0.594548116603487	-1.3218506353126198	1.8977390997707067	0.5597830036904416	-0.31864662394186155	0.2323247082184896	False	train_window_not_positive	10.0	1.5	1.5	0.0	2.0
elder_ema_pullback	box	0.5482368357981382	1.4701242792235483	0.7008152059057782	1.0302854494511346	266	0.2894736842105263	-0.35903244220946373	-0.34333787590574016	-1.0706403946148728	2.1499969696491448	0.8120408735688798	-0.32789068108209213	0.12116440266678996	False	clamp_frac_high(0.29)	10.0	1.5	2.0	0.0	2.0
elder_ema_pullback	box	0.5282481258732621	2.58998425489366	0.741780375235959	1.9211994924502445	214	0.6214953271028038	-0.37902115213433984	0.2722453588929726	-0.4550571598161602	1.8883268174754595	0.5503707213951945	-0.26871214410922656	0.11209821638421857	False	clamp_frac_high(0.62)	10.0	1.5	3.0	0.0	2.0
elder_ema_pullback	box	0.3959056100842074	0.8257214203607657	0.7103923074938713	0.5865861451572012	332	0.06626506024096386	-0.5113636679233946	-0.08334893887222751	-0.8106514575813603	1.7047863310407332	0.3668302349604682	-0.3590355159797987	0.1812352514965786	False	train_window_not_positive	10.0	2.0	1.0	0.0	2.0
elder_ema_pullback	box	0.5803996011107408	1.5177969957130502	0.7464331593287885	1.1329340067298357	276	0.15942028985507245	-0.3268696768968611	-0.594548116603487	-1.3218506353126198	1.8977390997707067	0.5597830036904416	-0.31864662394186155	0.2323247082184896	False	train_window_not_positive	10.0	2.0	1.5	0.0	2.0
elder_ema_pullback	box	0.5482368357981382	1.4701242792235483	0.7008152059057782	1.0302854494511346	266	0.2894736842105263	-0.35903244220946373	-0.34333787590574016	-1.0706403946148728	2.1499969696491448	0.8120408735688798	-0.32789068108209213	0.12116440266678996	False	clamp_frac_high(0.29)	10.0	2.0	2.0	0.0	2.0
elder_ema_pullback	box	0.5282481258732621	2.58998425489366	0.741780375235959	1.9211994924502445	214	0.6214953271028038	-0.37902115213433984	0.2722453588929726	-0.4550571598161602	1.8883268174754595	0.5503707213951945	-0.26871214410922656	0.11209821638421857	False	clamp_frac_high(0.62)	10.0	2.0	3.0	0.0	2.0
elder_ema_pullback	box	0.45504591770342845	2.2018225020421873	0.8560922461582416	1.8849631714150556	210	0.1619047619047619	-0.4522233603041735	0.4634510193399367	-0.26385149936919605	1.5066645415976216	0.16870844551735664	-0.3171108821825858	0.06240964540068372	False	train_window_not_positive	20.0	1.0	1.0	0.0	2.0
elder_ema_pullback	box	0.53885151524999	3.0455812930736412	0.6216431096431325	1.8932646256972507	182	0.3791208791208791	-0.36841776275761196	0.44650599985234307	-0.2807965188567897	1.2777815521478009	-0.06017454393246413	-0.31487806528000273	0.1893138199977007	False	clamp_frac_high(0.38)	20.0	1.0	1.5	0.0	2.0
elder_ema_pullback	box	0.5913622022846489	3.250123058237973	0.4893447938572282	1.5904307979440848	176	0.5795454545454546	-0.31590707572295307	0.320155961189045	-0.40714655752008777	1.2005302489436345	-0.13742584713663053	-0.33911858931327304	0.0747963697543842	False	clamp_frac_high(0.58)	20.0	1.0	2.0	0.0	2.0
