strategy	ref_type	sharpe	calmar	max_dd	pnl	n_trades	clamp_frac	delta_sharpe	sharpe_train	delta_sharpe_train	sharpe_test	delta_sharpe_test	boot_dsharpe_p05	delta_sharpe_cost	gate_pass	gate_reason	n	sl_mult	rr	buffer	bb_k
book_pullback_ma20	fixed	0.13369463220434558	-0.542567933117057	0.7818373346058324	-0.42419986667083537	506	0.0	0.0	0.19466270242864442	0.0	0.10143409792464105	0.0	0.0	0.0	False	train_window_not_positive					
book_pullback_ma20	box	0.4238765735435771	-0.3661579410738055	0.9882551336251941	-0.3618574649838196	407	0.06388206388206388	0.29018194133923153	0.5269569246434358	0.3322942222147914	0.9219239637523305	0.8204898658276895	-0.10856231586204561	0.3165680546804614	False	bootstrap_p05<=0	10.0	1.0	1.0	0.0	2.0
book_pullback_ma20	box	0.4974034433531702	2.1601297143515024	0.7281983127396194	1.5730028132894802	357	0.20728291316526612	0.36370881114882464	0.4763229947250346	0.28166029229639017	1.3058584387667125	1.2044243408420714	-0.040425254641046286	0.24705420435493958	False	clamp_frac_high(0.21)	10.0	1.0	1.5	0.0	2.0
book_pullback_ma20	box	0.4188928962647411	0.7640637049632457	0.8464846405747761	0.6467681906720448	321	0.4143302180685358	0.2851982640603955	0.4560019755168489	0.2613392730882045	0.710183644841723	0.6087495469170819	-0.06999364419242146	0.4542846842817059	False	clamp_frac_high(0.41)	10.0	1.0	2.0	0.0	2.0
book_pullback_ma20	box	0.47617156517813025	1.7764174736012495	0.7558607350264104	1.3427242173099994	319	0.7962382445141066	0.3424769329737847	0.4093120191763536	0.2146493167477092	0.29358116686993124	0.1921470689452902	-0.054600893566526455	0.4591116403148011	False	clamp_frac_high(0.80)	10.0	1.0	3.0	0.0	2.0
book_pullback_ma20	box	0.4238765735435771	-0.3661579410738055	0.9882551336251941	-0.3618574649838196	407	0.06388206388206388	0.29018194133923153	0.5269569246434358	0.3322942222147914	0.9219239637523305	0.8204898658276895	-0.10856231586204561	0.3165680546804614	False	bootstrap_p05<=0	10.0	1.5	1.0	0.0	2.0
book_pullback_ma20	box	0.4974034433531702	2.1601297143515024	0.7281983127396194	1.5730028132894802	357	0.20728291316526612	0.36370881114882464	0.4763229947250346	0.28166029229639017	1.3058584387667125	1.2044243408420714	-0.040425254641046286	0.24705420435493958	False	clamp_frac_high(0.21)	10.0	1.5	1.5	0.0	2.0
book_pullback_ma20	box	0.4188928962647411	0.7640637049632457	0.8464846405747761	0.6467681906720448	321	0.4143302180685358	0.2851982640603955	0.4560019755168489	0.2613392730882045	0.710183644841723	0.6087495469170819	-0.06999364419242146	0.4542846842817059	False	clamp_frac_high(0.41)	10.0	1.5	2.0	0.0	2.0
book_pullback_ma20	box	0.47617156517813025	1.7764174736012495	0.7558607350264104	1.3427242173099994	319	0.7962382445141066	0.3424769329737847	0.4093120191763536	0.2146493167477092	0.29358116686993124	0.1921470689452902	-0.054600893566526455	0.4591116403148011	False	clamp_frac_high(0.80)	10.0	1.5	3.0	0.0	2.0
book_pullback_ma20	box	0.4238765735435771	-0.3661579410738055	0.9882551336251941	-0.3618574649838196	407	0.06388206388206388	0.29018194133923153	0.5269569246434358	0.3322942222147914	0.9219239637523305	0.8204898658276895	-0.10856231586204561	0.3165680546804614	False	bootstrap_p05<=0	10.0	2.0	1.0	0.0	2.0
book_pullback_ma20	box	0.4974034433531702	2.1601297143515024	0.7281983127396194	1.5730028132894802	357	0.20728291316526612	0.36370881114882464	0.4763229947250346	0.28166029229639017	1.3058584387667125	1.2044243408420714	-0.040425254641046286	0.24705420435493958	False	clamp_frac_high(0.21)	10.0	2.0	1.5	0.0	2.0
book_pullback_ma20	box	0.4188928962647411	0.7640637049632457	0.8464846405747761	0.6467681906720448	321	0.4143302180685358	0.2851982640603955	0.4560019755168489	0.2613392730882045	0.710183644841723	0.6087495469170819	-0.06999364419242146	0.4542846842817059	False	clamp_frac_high(0.41)	10.0	2.0	2.0	0.0	2.0
book_pullback_ma20	box	0.47617156517813025	1.7764174736012495	0.7558607350264104	1.3427242173099994	319	0.7962382445141066	0.3424769329737847	0.4093120191763536	0.2146493167477092	0.29358116686993124	0.1921470689452902	-0.054600893566526455	0.4591116403148011	False	clamp_frac_high(0.80)	10.0	2.0	3.0	0.0	2.0
book_pullback_ma20	box	0.4334265307972908	0.6364222498024072	0.9882733968748614	0.6289591786589666	250	0.196	0.29973189859294525	0.5294585178008437	0.3347958153721993	0.9580043857368815	0.8565702878122404	-0.07149273568475653	0.3178838343578865	False	bootstrap_p05<=0	20.0	1.0	1.0	0.0	2.0
book_pullback_ma20	box	0.436286723886248	1.5283287262590874	0.9899884378290551	1.5130277681985036	239	0.6150627615062761	0.30259209168190243	0.5410699795322959	0.34640727710365143	1.1735257157737884	1.0720916178491473	-0.044000357063829494	0.3206375420926258	False	clamp_frac_high(0.62)	20.0	1.0	1.5	0.0	2.0
book_pullback_ma20	box	0.43583080990737344	1.2174404202849776	0.9930572698553468	1.2089880599797458	236	0.8898305084745762	0.30213617770302786	0.5411513109204547	0.34648860849181023	1.266344433068407	1.164910335143766	-0.017832679907243746	0.3055059781641243	False	clamp_frac_high(0.89)	20.0	1.0	2.0	0.0	2.0
book_pullback_ma20	box	0.43610297102170265	1.3866020333068736	0.9930572698553468	1.3769752295715965	234	0.9829059829059829	0.30240833881735707	0.5411513109204547	0.34648860849181023	0.858184390960985	0.7567502930363439	0.0007733157151694472	0.3049376151438164	False	clamp_frac_high(0.98)	20.0	1.0	3.0	0.0	2.0
book_pullback_ma20	box	0.4334265307972908	0.6364222498024072	0.9882733968748614	0.6289591786589666	250	0.196	0.29973189859294525	0.5294585178008437	0.3347958153721993	0.9580043857368815	0.8565702878122404	-0.07149273568475653	0.3178838343578865	False	bootstrap_p05<=0	20.0	1.5	1.0	0.0	2.0
book_pullback_ma20	box	0.436286723886248	1.5283287262590874	0.9899884378290551	1.5130277681985036	239	0.6150627615062761	0.30259209168190243	0.5410699795322959	0.34640727710365143	1.1735257157737884	1.0720916178491473	-0.044000357063829494	0.3206375420926258	False	clamp_frac_high(0.62)	20.0	1.5	1.5	0.0	2.0
book_pullback_ma20	box	0.43583080990737344	1.2174404202849776	0.9930572698553468	1.2089880599797458	236	0.8898305084745762	0.30213617770302786	0.5411513109204547	0.34648860849181023	1.266344433068407	1.164910335143766	-0.017832679907243746	0.3055059781641243	False	clamp_frac_high(0.89)	20.0	1.5	2.0	0.0	2.0
