strategy	ref_type	sharpe	calmar	max_dd	pnl	n_trades	clamp_frac	delta_sharpe	sharpe_train	delta_sharpe_train	sharpe_test	delta_sharpe_test	boot_dsharpe_p05	delta_sharpe_cost	gate_pass	gate_reason	n	sl_mult	rr	buffer	bb_k
daytrading_3methods_breakout	fixed	0.49403053999633767	2.4039655412704404	0.7593289416917918	1.8254006103164189	883	0.0	0.0	0.5127005129324267	0.0	0.9668645330300847	0.0	0.0	0.0	False	train_window_not_positive					
daytrading_3methods_breakout	box	0.6353657840148258	5.7822694474160095	0.5861175667928377	3.389089699060037	683	0.18740849194729137	0.14133524401848813	0.6176206279597446	0.1049201150273179	1.1237993898939396	0.1569348568638549	-0.03594329965184514	0.02804716678285457	False	bootstrap_p05<=0	10.0	1.0	1.0	0.0	2.0
daytrading_3methods_breakout	box	0.4932553357757036	3.484083655111056	0.820126891240006	2.857390696886348	671	0.47391952309985097	-0.0007752042206340959	0.5458990217567019	0.03319850882427522	1.349533286081041	0.38266875305095627	-0.05346885675683346	0.0012854222371022628	False	clamp_frac_high(0.47)	10.0	1.0	1.5	0.0	2.0
daytrading_3methods_breakout	box	0.5089772414330757	3.857395222096614	0.7928175741785592	3.0582107226306023	663	0.6953242835595776	0.014946701436737986	0.564936230431365	0.052235717498938294	1.0578858809379426	0.09102134790785787	-0.0647504823586704	0.030656858317846758	False	clamp_frac_high(0.70)	10.0	1.0	2.0	0.0	2.0
daytrading_3methods_breakout	box	0.5555927265682638	4.173874086165036	0.7221114497017517	3.0140022672332076	658	0.8966565349544073	0.06156218657192608	0.5827163778019925	0.07001586486956579	1.0578858809379426	0.09102134790785787	-0.05379767192441123	0.006104881335974421	False	clamp_frac_high(0.90)	10.0	1.0	3.0	0.0	2.0
daytrading_3methods_breakout	box	0.6353657840148258	5.7822694474160095	0.5861175667928377	3.389089699060037	683	0.18740849194729137	0.14133524401848813	0.6176206279597446	0.1049201150273179	1.1237993898939396	0.1569348568638549	-0.03594329965184514	0.02804716678285457	False	bootstrap_p05<=0	10.0	1.5	1.0	0.0	2.0
daytrading_3methods_breakout	box	0.4932553357757036	3.484083655111056	0.820126891240006	2.857390696886348	671	0.47391952309985097	-0.0007752042206340959	0.5458990217567019	0.03319850882427522	1.349533286081041	0.38266875305095627	-0.05346885675683346	0.0012854222371022628	False	clamp_frac_high(0.47)	10.0	1.5	1.5	0.0	2.0
daytrading_3methods_breakout	box	0.5089772414330757	3.857395222096614	0.7928175741785592	3.0582107226306023	663	0.6953242835595776	0.014946701436737986	0.564936230431365	0.052235717498938294	1.0578858809379426	0.09102134790785787	-0.0647504823586704	0.030656858317846758	False	clamp_frac_high(0.70)	10.0	1.5	2.0	0.0	2.0
daytrading_3methods_breakout	box	0.5555927265682638	4.173874086165036	0.7221114497017517	3.0140022672332076	658	0.8966565349544073	0.06156218657192608	0.5827163778019925	0.07001586486956579	1.0578858809379426	0.09102134790785787	-0.05379767192441123	0.006104881335974421	False	clamp_frac_high(0.90)	10.0	1.5	3.0	0.0	2.0
daytrading_3methods_breakout	box	0.6353657840148258	5.7822694474160095	0.5861175667928377	3.389089699060037	683	0.18740849194729137	0.14133524401848813	0.6176206279597446	0.1049201150273179	1.1237993898939396	0.1569348568638549	-0.03594329965184514	0.02804716678285457	False	bootstrap_p05<=0	10.0	2.0	1.0	0.0	2.0
