buy_id,strategy,code,buy_date,buy_time,buy_price,qty,notional_won,in_list,exit_status,exit_reason,exit_date,exit_price,ret_pct,pnl_won
2535,elder_ema_pullback,051900,2026-09-15,09:11:46,306500,1,306500,Y,open,open,2026-09-18,295500,-3.59,-11000
2537,elder_ema_pullback,192820,2026-09-15,09:17:02,282500,1,282500,Y,open,open,2026-09-18,273000,-3.36,-9500
2544,elder_ema_pullback,095340,2026-09-15,11:32:52,187000,2,374000,Y,open,open,2026-09-18,186300,-0.37,-1400
2554,elder_ema_pullback,373220,2026-09-16,09:06:15,372500,1,372500,Y,open,open,2026-09-18,364000,-2.28,-8500
2572,elder_ema_pullback,036930,2026-09-17,09:06:48,206500,2,413000,Y,open,open,2026-09-18,205500,-0.48,-2000
2574,elder_ema_pullback,062040,2026-09-17,09:12:39,200500,2,401000,Y,closed,trend_flip,2026-09-18,203000,+1.25,5000
2582,elder_ema_pullback,005935,2026-09-17,13:51:16,196000,2,392000,Y,open,open,2026-09-18,196100,+0.05,200
2591,elder_ema_pullback,086280,2026-09-18,09:07:08,207500,2,415000,Y,open,open,2026-09-18,203500,-1.93,-8000
2471,minervini_volume_dryup,006360,2026-09-10,09:02:50,35300,84,2965200,Y,open,open,2026-09-18,36850,+4.39,130200
2586,minervini_volume_dryup,002990,2026-09-18,09:02:59,13750,77,1058750,Y,open,open,2026-09-18,13340,-2.98,-31570
2473,rs_leader,049080,2026-09-10,09:04:38,8460,78,659880,Y,closed,tp,2026-09-16,9730,+15.01,99060
2477,rs_leader,204840,2026-09-10,09:09:44,4810,138,663780,Y,closed,ma_break,2026-09-14,4510,-6.24,-41400
2480,rs_leader,001290,2026-09-10,09:14:43,4235,123,520905,Y,open,open,2026-09-18,4205,-0.71,-3690
2491,rs_leader,060230,2026-09-10,15:17:18,1290,491,633390,Y,closed,ma_break,2026-09-15,1197,-7.21,-45663
2498,rs_leader,351320,2026-09-11,09:23:46,4085,161,657685,Y,closed,sl,2026-09-11,3650,-10.65,-70035
2502,rs_leader,069540,2026-09-11,09:38:44,3855,171,659205,Y,closed,tp,2026-09-14,4450,+15.43,101745
2519,rs_leader,067390,2026-09-14,11:05:48,6380,103,657140,Y,closed,sl,2026-09-15,5860,-8.15,-53560
2521,rs_leader,060570,2026-09-14,11:10:47,4940,133,657020,Y,open,open,2026-09-18,5090,+3.04,19950
2528,rs_leader,001210,2026-09-15,09:04:57,10800,59,637200,Y,closed,ma_break,2026-09-18,10700,-0.93,-5900
2534,rs_leader,184230,2026-09-15,09:10:22,2265,284,643260,Y,open,open,2026-09-18,2230,-1.55,-9940
2553,rs_leader,017900,2026-09-16,09:04:44,10250,61,625250,Y,open,open,2026-09-18,10520,+2.63,16470
2558,rs_leader,140430,2026-09-16,09:10:15,2765,227,627655,Y,closed,tp,2026-09-16,3200,+15.73,98745
2561,rs_leader,079650,2026-09-16,09:15:25,6550,95,622250,Y,open,open,2026-09-18,6370,-2.75,-17100
2563,rs_leader,024850,2026-09-16,09:20:39,15850,39,618150,Y,closed,ma_break,2026-09-18,14950,-5.68,-35100
2571,rs_leader,351320,2026-09-17,09:05:14,3780,171,646380,Y,open,open,2026-09-18,3915,+3.57,23085
2573,rs_leader,064290,2026-09-17,09:11:10,48650,13,632450,Y,open,open,2026-09-18,46750,-3.91,-24700
2575,rs_leader,092190,2026-09-17,09:16:53,8800,73,642400,Y,open,open,2026-09-18,8610,-2.16,-13870
2596,rs_leader,00088K,2026-09-18,09:11:51,41850,15,627750,Y,open,open,2026-09-18,40550,-3.11,-19500
2598,rs_leader,024840,2026-09-18,09:18:10,6000,107,642000,Y,open,open,2026-09-18,6500,+8.33,53500
