# RESULTS_WRC_POST6 — bₖ 밴드 (기계 생성 · 판정 회차)
# 창 = [등록일, 2026-09-04] · gross · 시드 20260815 · post6(224401108114) «만»
# 1. 🔴 **「라이브 채택 금지 — 이 표의 어떤 숫자도 매매 규칙으로 옮기지 않는다」**(`PREREG.md` §0-2).
# 2. 🔴 **「검정 안 된 «후보»다 — `WRC-P1` 판정 전이거나 강등 상태면 그 사실을 이 줄에 적는다」** → 🔴 **이 회차는 `WRC-G1` 발동(측정 불가 ≥ 1/3)으로 «판정 표기 ⛔»**이다.
# 3. 🔴 **「`P` 의 불확실성을 그대로 물려받는다 — 「존재한다」류 주장조차 약하다」** (`RESULTS_RECONSTRUCT_POST5.md` §10 승계).
# 4. 🔴 **「이 표는 «단일 평단 전제가 성립한 건»만 담는다 — 그 배제는 무작위가 아니다」**(§5-3 2번 · 두 문장 묶음): *「`WRC-G1` 사유 ④ 가 `feasible(A0) = ∅` 인 건을 전부 분자로 보내 측정 불가로 처리한다 ⇒ 중단 대상인 「전제가 깨진 건」은 이 축에 애초에 들어오지 못한다」* 와 *「그 배제는 무작위가 아니다 — 레그 간격이 촘촘한 건에 몰린다」* 는 **하나의 사실**이다.
#
post	name	code	reg	fill_n	k	P_min	P_max	b_lo_pct	b_hi_pct	w_pp	cells
post6	지투파워	388050	2026-08-26	3	1	9710.00	10780.00	0.0000	9.9258	9.9258	107.00
post6	지투파워	388050	2026-08-26	3	2	9160.00	10050.00	6.7718	15.0278	8.2560	89.00
post6	지투파워	388050	2026-08-26	3	3	8970.00	9680.00	10.2041	16.7904	6.5863	71.00
