arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
B1,B1-0027,main,elder_ema_pullback,095340,2026-09-21,band_touch,192500,5,amount,962500,replay,N,,,,,N,1,,open,open,,2026-09-23,212500,+10.39,2,100000,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0028,main,minervini_volume_dryup,002990,2026-09-21,D_open,13480,74,amount,997520,replay,N,,,,,N,1,,open,open,,2026-09-23,13010,-3.49,2,-34780,mark_to_market(마지막 종가)
B1,B1-0029,main,minervini_volume_dryup,006340,2026-09-21,D_open,14000,71,amount,994000,log,N,,,,,N,1,,open,open,,2026-09-23,13490,-3.64,2,-36210,mark_to_market(마지막 종가)
B1,B1-0030,main,minervini_volume_dryup,006360,2026-09-21,D_open,37100,26,amount,964600,replay,N,,,,,N,1,,closed,sl,after0902,2026-09-23,34132,-8.00,2,-77168,
B1,B1-0031,main,minervini_volume_dryup,007340,2026-09-21,D_open,49150,20,amount,983000,log,N,,,,,N,1,,open,open,,2026-09-23,47900,-2.54,2,-25000,mark_to_market(마지막 종가)
B1,B1-0032,main,minervini_volume_dryup,088350,2026-09-21,D_open,5870,170,amount,997900,log,N,,,,,N,1,,open,open,,2026-09-23,5640,-3.92,2,-39100,mark_to_market(마지막 종가)
B1,B1-0033,main,minervini_volume_dryup,089860,2026-09-21,D_open,49550,20,amount,991000,log,N,,,,,N,1,,open,open,,2026-09-23,49650,+0.20,2,2000,mark_to_market(마지막 종가)
B1,B1-0034,main,minervini_volume_dryup,090430,2026-09-21,D_open,142500,7,amount,997500,log,N,,,,,N,1,,open,open,,2026-09-23,142500,+0.00,2,0,mark_to_market(마지막 종가)
B1,B1-0035,main,minervini_volume_dryup,144960,2026-09-21,D_open,10390,96,amount,997440,log,N,,,,,N,1,,closed,tp,entry_day,2026-09-21,11636.8,+12.00,0,119693,
B1,B1-0036,main,minervini_volume_dryup,282330,2026-09-21,D_open,137600,7,amount,963200,log,N,,,,,N,1,,open,open,,2026-09-23,132900,-3.42,2,-32900,mark_to_market(마지막 종가)
