date,strategy,code,stage,result,n,first_ts,last_ts,basis
2026-09-21,minervini_volume_dryup,090430,signal,Y,66,09:02:52,15:26:16,log
2026-09-21,minervini_volume_dryup,090430,cash,qty_short,33,09:02:52,15:20:34,log
2026-09-21,minervini_volume_dryup,007340,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,007340,signal,Y,66,09:02:52,15:26:16,log
2026-09-21,minervini_volume_dryup,007340,cash,qty_short,33,09:09:10,15:26:16,log
2026-09-21,minervini_volume_dryup,089860,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,089860,signal,Y,66,09:02:52,15:26:16,log
2026-09-21,minervini_volume_dryup,089860,cash,qty_short,33,09:02:52,15:20:35,log
2026-09-21,minervini_volume_dryup,282330,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,282330,signal,Y,66,09:02:52,15:26:17,log
2026-09-21,minervini_volume_dryup,282330,cash,qty_short,33,09:02:52,15:20:35,log
2026-09-21,book_pullback_ma20,047770,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma20,047770,signal,Y,6,09:03:35,09:34:27,log
2026-09-21,book_pullback_ma20,047770,cap,daily_trades,1,09:40:43,09:40:43,log
2026-09-21,book_pullback_ma20,047770,gate,band_above,2,09:16:05,09:28:18,log
2026-09-21,book_pullback_ma20,047770,cash,qty_short,1,09:03:35,09:03:35,log
2026-09-21,book_pullback_ma20,018000,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma20,018000,signal,Y,3,09:03:35,09:16:05,log
2026-09-21,book_pullback_ma20,018000,cash,qty_short,1,09:03:36,09:03:36,log
2026-09-21,book_pullback_ma20,018000,fill,Y,1,09:16:05,09:16:05,vtr
2026-09-21,book_pullback_ma20,006340,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma20,006340,signal,Y,4,09:03:36,09:22:32,log
2026-09-21,book_pullback_ma20,006340,gate,throttle,1,09:16:06,09:16:06,log
2026-09-21,book_pullback_ma20,006340,fill,Y,1,09:22:32,09:22:32,vtr
2026-09-21,book_pullback_ma20,388050,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma20,388050,signal,Y,5,09:03:36,09:28:18,log
2026-09-21,book_pullback_ma20,388050,gate,throttle,2,09:16:06,09:22:33,log
2026-09-21,book_pullback_ma20,388050,cash,qty_short,1,09:03:36,09:03:36,log
2026-09-21,book_pullback_ma20,388050,fill,Y,1,09:28:18,09:28:18,vtr
2026-09-21,book_pullback_ma20,006910,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma20,006910,signal,Y,6,09:03:36,09:34:27,log
2026-09-21,book_pullback_ma20,006910,cap,daily_trades,1,09:40:43,09:40:43,log
2026-09-21,book_pullback_ma20,006910,gate,throttle,3,09:16:07,09:28:19,log
2026-09-21,book_pullback_ma20,006910,cash,qty_short,2,09:03:37,09:34:28,log
2026-09-21,book_pullback_ma20,130660,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma20,130660,signal,Y,6,09:03:37,09:34:28,log
2026-09-21,book_pullback_ma20,130660,cap,daily_trades,1,09:40:43,09:40:43,log
2026-09-21,book_pullback_ma20,130660,gate,throttle,3,09:16:07,09:28:19,log
2026-09-21,book_pullback_ma20,130660,cash,qty_short,2,09:03:37,09:34:28,log
2026-09-21,book_pullback_ma20,014990,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma20,014990,signal,Y,6,09:03:37,09:34:28,log
2026-09-21,book_pullback_ma20,014990,gate,throttle,3,09:16:07,09:28:19,log
