t,tag,tool,n,n_ctrl,delta,se,p,ci_lo,ci_hi,restricted,rate_event,rate_ctrl,mde1,mde2,mean_event,net_event,win_rate,pnl_net_won,expected_sign,se_cr1,p_cr1,se_2w,p_2w,p_holm,label,sign_match
1,유상증자,CR1,779,15580,-1.3030292512610642,0.25568419908192797,3.4645719890592794e-07,-1.804170281461643,-0.8018882210604854,True,0.2733208955223881,0.0391304347826087,0.875743054893484,0.8772449723198467,-1.5230317577278805,-1.7730317577278805,0.31835686777920413,-17910,−,0.25568419908192797,3.4645719890592794e-07,0.27672406352026696,6.14810690127579e-05,2.0787431934355676e-06,있음(−),예
2,CB/BW/EB,CR1,993,19860,-0.488929038782126,0.24177690781465455,0.043152373224880566,-0.962811778098849,-0.01504629946540309,True,0.09727272727272727,0.034057971014492754,0.7861927774904648,0.7929481051909075,-0.7187312668345884,-0.9687312668345884,0.3776435045317221,-9592,−,0.24177690781465455,0.043152373224880566,0.19870787769879308,0.020303248841269703,0.12945711967464169,판별 보류,예
3,자기주식취득,CR1,1220,24400,1.4625171470689693,0.21764596268975367,1.8209006009494485e-11,1.0359310601970522,1.8891032339408864,False,0.0423861852433281,0.028244897959183675,0.6844505655623191,0.6848951252059022,1.3708156936137708,1.1208156936137708,0.5795081967213115,11266,+,0.21764596268975367,1.8209006009494485e-11,0.2709616286802927,9.365224882890986e-06,1.274630420664614e-10,있음(+),예
4,공급계약,CR1,2822,56440,-0.2205094181445033,0.13644623955946023,0.10607483245247329,-0.4879440476810453,0.0469252113920387,True,0.07868103166829905,0.026515151515151516,0.4674915068381385,0.4826859616082736,-0.2828952535888035,-0.5328952535888034,0.442239546420978,-5260,+,0.13644623955946023,0.10607483245247329,0.12955750354189582,0.09983127843837131,0.21214966490494658,판별 보류,아니오
5,최대주주변경,CR1,481,9620,-1.2718117393723143,0.36056085335303123,0.00041979686429240214,-1.9785110119442555,-0.5651124668003731,True,0.2340764331210191,0.03935599284436494,1.1000724910803388,1.112637817665805,-1.3999812824298188,-1.6499812824298186,0.367983367983368,-16438,무부호,0.36056085335303123,0.00041979686429240214,0.27015227742078124,6.165068090807695e-05,0.0020989843214620106,있음(−),—
6,잠정실적,CR1,7680,153600,-0.11975621043795459,0.0851036971908963,0.15937405605680288,-0.2865594569321114,0.04704703605620217,True,0.049622571463927734,0.02381379840984868,0.29875106606687085,0.3025508553855894,-0.2964485910053977,-0.5464485910053977,0.41640625,-5426,무부호,0.0851036971908963,0.15937405605680288,0.12492177309274018,0.3459405139605439,0.21214966490494658,판별 보류,—
7,소송·횡령,CR1,574,11480,-0.8099351324971619,0.31538761617676375,0.010226869423743347,-1.4280948602036188,-0.19177540479070487,True,0.35141242937853107,0.03996188055908513,1.0381847588481188,1.0591459341115883,-0.8178810670231702,-1.0678810670231704,0.36585365853658536,-10761,−,0.31538761617676375,0.010226869423743347,0.3006795435221494,0.01199858209437118,0.04090747769497339,있음(−),예
