stratum,n,mean_d,want_lo,want_hi
0,72412,-0.0012099630813425307,0.1437451111859774,0.22211073612319518
1,72409,0.00021063236737758472,0.22211123735422128,0.2669359615846817
2,72417,0.0013361363370974024,0.26693988958758774,0.2859479387093751
3,72404,0.006156902876055991,0.28594847584214705,0.3376022590083531
4,72410,0.016490174770572005,0.3376051573196578,0.7350979235781573
