bucket,n,roi_s,capital_weighted_s
>=0.20,75780,0.0051045380953291366,-0.0036702396287573904
>=0.50,161784,-0.001955713394093505,-0.012955694720862769
>=1.00,80943,-0.007892612915565304,-0.020950239798833984
>=2.00,25227,-0.0004979882289832191,-0.02268551768109457
>=4.00,18318,-0.028139322225122332,-0.03405774864964875
