sub,K,ctrl,k,nday,sd_delta,sd_abs,MDE_rel,MDE_abs,drawn_rows,drawn_stocks,rows_per_stock
ALL,30,rest,1,315,0.040123274102051,0.03892325694256955,0.4467847561223845,0.424142977379279,579.55,254.83,2.274261272220696
ALL,30,rest,5,315,0.089831453674943,0.08925429911803048,1.0003003249484834,1.125860676860497,579.515,256.54,2.258965463475481
ALL,30,rest,20,315,0.17366533929655417,0.1733843344599666,1.9338159210829666,3.4165425954733104,578.665,256.23,2.2583811419427855
ALL,30,10,1,315,0.04156497525342409,0.03858480788713443,0.46283853318153684,0.420454930660186,576.93,254.92,2.2631806056802133
ALL,30,10,5,315,0.09427748377380404,0.08967650560912224,1.0498082107800355,1.1311864224047745,576.305,255.29,2.2574523091386265
ALL,30,10,20,315,0.18879381609968993,0.1803437607448698,2.102276072211228,3.553678262409348,576.91,255.31,2.259645137284086
ALL,50,rest,1,315,0.03926321689756675,0.03812293612428462,0.4372077598040019,0.41542195860053593,577.26,285.89,2.019168211549897
ALL,50,rest,5,315,0.0869301542954383,0.0867192972262677,0.9679934814836879,1.0938839656666925,578.775,286.825,2.017868038002266
ALL,50,rest,20,315,0.1719471132585484,0.16973556583743774,1.9146829560263017,3.3446435195924114,578.875,284.98,2.0312828970454064
ALL,50,10,1,315,0.04099726734834169,0.03790517954102803,0.4565169344686335,0.41304908611191915,578.045,285.355,2.025704823815948
ALL,50,10,5,315,0.09092779879714896,0.08617993017883113,1.0125084584822748,1.0870803477446007,578.625,285.3,2.0281282860147214
ALL,50,10,20,315,0.17902379890711564,0.16892511837664392,1.9934839846663914,3.3286736323484485,580.68,285.865,2.0313084847742813
ALL,100,rest,1,315,0.0366123648552271,0.03596644953896336,0.40768972295982764,0.3919229322388367,578.92,327.82,1.7659691294002806
ALL,100,rest,5,315,0.08553847966984918,0.08586174950915886,0.9524967648744183,1.0830667920093477,577.535,328.53,1.757936870301038
ALL,100,rest,20,315,0.16405166125736237,0.1631060714853025,1.8267647171544257,3.2140091695453523,578.755,327.68,1.7662200927734375
ALL,100,10,1,315,0.03880497688643472,0.03604591030559863,0.4321051190997959,0.3927888085501447,579.245,329.02,1.7605160780499667
ALL,100,10,5,315,0.0887019779473841,0.08414688003758916,0.9877232721336994,1.0614352950050894,579.52,328.745,1.7628252901184809
ALL,100,10,20,315,0.17045059793546535,0.16099181714604527,1.8980188066361876,3.1723477355395913,577.945,328.19,1.7610073433072306
ALL,200,rest,1,315,0.03409921380927371,0.03423724816615565,0.37970502823354146,0.37307999163309147,579.32,377.28,1.5355173876166246
ALL,200,rest,5,315,0.0787938430755262,0.08037117891490528,0.8773932025812636,1.0138083071332067,577.345,376.295,1.5342882578827781
ALL,200,rest,20,315,0.15470354353697785,0.1566801296565215,1.7226706074543439,3.0873858270014893,577.37,376.97,1.531607289704751
ALL,200,10,1,315,0.03687681491192451,0.03429747942569517,0.4106344540848995,0.3737363258599547,577.245,374.49,1.5414163262036369
ALL,200,10,5,315,0.08558691725571453,0.07979906690952805,0.953036131999169,1.0065916417626992,579.15,377.015,1.536145776693235
ALL,200,10,20,315,0.16086530072247804,0.152335449501064,1.7912836317655456,3.001773797165798,578.675,377.785,1.5317574811069785
ALL,100,rest,1,315,0.0366123648552271,0.03596644953896336,0.40768972295982764,0.3919229322388367,578.92,327.82,1.7659691294002806
ALL,100,rest,5,315,0.08553847966984918,0.08586174950915886,0.9524967648744183,1.0830667920093477,577.535,328.53,1.757936870301038
ALL,100,rest,20,315,0.16405166125736237,0.1631060714853025,1.8267647171544257,3.2140091695453523,578.755,327.68,1.7662200927734375
ALL,100,10,1,315,0.03880497688643472,0.03604591030559863,0.4321051190997959,0.3927888085501447,579.245,329.02,1.7605160780499667
ALL,100,10,5,315,0.0887019779473841,0.08414688003758916,0.9877232721336994,1.0614352950050894,579.52,328.745,1.7628252901184809
ALL,100,10,20,315,0.17045059793546535,0.16099181714604527,1.8980188066361876,3.1723477355395913,577.945,328.19,1.7610073433072306
IN_REGIME,100,rest,1,222,0.036879542070009624,0.03588073979525817,0.4106648218125398,0.39098896142701145,407.745,255.22,1.597621659744534
IN_REGIME,100,rest,5,222,0.08524382779408542,0.08588545606871953,0.9492157273868174,1.083365828397026,407.01,255.365,1.5938362735692049
IN_REGIME,100,rest,20,222,0.1606485255465233,0.16104812281247174,1.7888697748136932,3.1734572400880365,408.155,255.655,1.5965070114020847
IN_REGIME,100,10,1,222,0.03888979133390938,0.03561383428371839,0.43304955354784813,0.38808051780651864,408.445,255.855,1.5963924879326181
IN_REGIME,100,10,5,222,0.08929677101902127,0.08400100448087526,0.9943464723436024,1.0595952093773693,406.575,255.72,1.5899225715626466
IN_REGIME,100,10,20,222,0.1737287796350471,0.16116987571975966,1.9345223483822398,3.1758563841350904,408.24,256.125,1.593909224011713
POST_REGIME,100,rest,1,79,0.039703076996194506,0.03977886164143949,0.4421057346400915,0.43346641927351337,145.47,105.715,1.3760582698765549
POST_REGIME,100,rest,5,79,0.09328353935725625,0.0929394209778556,1.0387403399822281,1.1723450908597546,145.325,105.915,1.372090827550394
POST_REGIME,100,rest,20,79,0.15558634336952512,0.15679214488303111,1.7325008497941472,3.0895930898081536,144.93,105.655,1.3717287397662203
POST_REGIME,100,10,1,79,0.04255208393777121,0.0396702529922569,0.4738302860400049,0.4322829212969331,144.82,105.82,1.3685503685503686
POST_REGIME,100,10,5,79,0.09849070907476616,0.0945407549829913,1.0967237449857248,1.19254444265252,145.38,106.405,1.366289178140125
POST_REGIME,100,10,20,79,0.16759839022805306,0.16023510920762307,1.8662586137435184,3.1574367869120543,144.775,105.34,1.374359217771027
