pool,arm,ctrl,k,D_est,sd_delta,sd_abs,se_date_rel,se_stock_rel,se_date_abs,se_stock_abs,cbb_rel,cbb_abs,G_stock,D_target,N_target,acf1_rel,acf1_abs,vif_rel,vif_abs
top100,rel_CB,rest,1,315,0.03748717403542395,0.038773619210836455,0.0021121629755857948,0.002096193366886793,0.0021846459498174515,0.002163327332156072,0.0020557901768277994,0.002150084769291965,1650,633,1162,-0.005323852994481411,-0.006850098412707435,0.9893691150315569,0.98632144645551
top100,rel_CB,rest,5,315,0.08644627283869807,0.09082412774993447,0.0048706956863365245,0.0048730059615607595,0.0051173598666575636,0.005122597719318907,0.0048311102320666086,0.005528289453978482,1650,633,1162,0.00758584338085712,0.09943741611505283,1.0448193393310463,1.3434407482218702
top100,rel_CB,rest,20,315,0.16025162657994718,0.16784798476994953,0.009029156268747184,0.00893156759510011,0.009457162565062006,0.009639594407802638,0.00873948611759757,0.012515873423175035,1650,633,1162,-0.0027177287399889776,0.09395915946912202,0.7360857341633443,2.5276062102074057
top100,rel_CB,10,1,315,0.040409103973645895,0.0392719417383175,0.002276795076872922,0.002170713473479699,0.0022127232434392963,0.0021848050168195984,0.002292920497128893,0.002229267584131236,910,633,1162,-0.00630632073872605,-0.008366453380955343,0.9874072837065565,0.9832935275299722
top100,rel_CB,10,5,315,0.09097177348033644,0.08995658044968259,0.005125678761140344,0.004897262449207985,0.005068479113858488,0.005020513145243973,0.0050783491459378775,0.005330659334337601,914,633,1162,-0.009580672454132825,0.0795245556701701,0.947977804240737,1.281534135066024
top100,rel_CB,10,20,315,0.1678749911004755,0.16485779064544756,0.009458684199405248,0.009068788048079734,0.009288684212609538,0.009525770022860673,0.008937626237854358,0.012131608909475289,912,633,1162,-0.00407766081612395,0.08688157061111561,0.744742890887508,2.7259692978601464
top100,abs_ALL,rest,1,315,0.03576879740138134,0.03710437721321053,0.0020153434206866497,0.002004819628390155,0.0020905948180531125,0.0020660839092216973,0.001972614878830002,0.0020621329038602036,1650,661,1361,-0.00457080947923009,-0.0032976723718208143,0.9908722110248355,0.9934146330850174
top100,abs_ALL,rest,5,315,0.0828882631460717,0.08748512093176294,0.004670224550997293,0.004670284802765716,0.0049292281453945505,0.00490924000948573,0.00462438669742431,0.005363645156454922,1650,661,1361,0.003595864891864955,0.10512362704455654,1.0319766457421609,1.372105793856463
top100,abs_ALL,rest,20,315,0.1537416989934089,0.1616065975551776,0.008662363402231359,0.008576537071290143,0.00910550023439716,0.009273356214917523,0.00836553628553437,0.01225773870140175,1650,661,1361,0.009220404551559539,0.11532613885328775,0.7791479435929285,2.7355257063745517
top200,rel_CB,rest,1,315,0.035597311948130636,0.0369930091446523,0.002005681309990724,0.0020021623651901017,0.002084319938254254,0.002063532292497959,0.001955930127288177,0.0020536683038912444,1976,633,1162,-0.004007676612422586,-0.002049033968123333,0.9919973092605021,0.9959084061047269
top200,rel_CB,rest,5,315,0.08122762496197626,0.08632201326046388,0.0045766581892071,0.004580030880862809,0.0048636944522541655,0.0048139619416891375,0.004573059486836093,0.0053938112604058385,1976,633,1162,-0.008820518340233072,0.09208495136676469,0.9523833990282541,1.274077595015621
top200,rel_CB,rest,20,315,0.1505888234852176,0.1584223095089649,0.008484718992206213,0.008403458076808201,0.008926085928361308,0.008947857012525798,0.008207829465297694,0.011679374916657971,1976,633,1162,-0.013001276440763201,0.08824517797459769,0.7530284729203407,2.454752648154492
top200,rel_CB,10,1,315,0.0381828906626002,0.037140513923945,0.0021513621667553543,0.0020465727652781308,0.0020926308910417216,0.0020600827136080095,0.0021345725799736858,0.0020953814425109783,1039,633,1162,-0.012820379415693528,-0.014632894545648676,0.9743997478966246,0.9707804443827805
top200,rel_CB,10,5,315,0.08723041063418902,0.0865110327475203,0.004914876845946699,0.004699034685652237,0.004874344493834988,0.004821710098048479,0.004822902427236913,0.005383039289116406,1037,633,1162,-0.006062303836040955,0.09437529014076906,0.9673546033386816,1.3212456317973478
top200,rel_CB,10,20,315,0.1619333547802734,0.1595701624676788,0.00912391091833403,0.008710997081905808,0.008990760115818624,0.00901594890022733,0.008600842782550053,0.011700784353288071,1039,633,1162,0.005891565324564969,0.10983217846412821,0.7710751407800811,2.77405097917235
top200,abs_ALL,rest,1,315,0.03389859095199131,0.03537005993688994,0.0019099692248251375,0.0019079930017376887,0.0019928771097110125,0.001966170068083708,0.0018756738326308634,0.001973327976983545,1976,661,1361,-0.0036936910209642904,-0.0028505280796250984,0.9926237940277264,0.9943075687366034
top200,abs_ALL,rest,5,315,0.07748144283419493,0.08284352961549621,0.004365584738254945,0.00437298409078379,0.004667704102084299,0.004596069965104912,0.004319691922700289,0.005163833515807748,1976,661,1361,-0.01848255287176132,0.09473031689482918,0.9283888492074417,1.2914567019698746
top200,abs_ALL,rest,20,315,0.14426730845165445,0.15226610217625858,0.0081285419704098,0.008080684551106308,0.00857922294034613,0.008602319093986377,0.007867081968539254,0.01132986878167607,1976,661,1361,-0.017515074332443707,0.09029997220434247,0.7327726770795076,2.575471020415983
